service,event,endpoint,method,user_id,ip,status_code,latency_ms,timestamp,user,session_id,commit_hash,filename,mime_type,email,query,duration_ms,level,label,message,reason,key,table,rows_count,action,file_count,time_window_min,exception_type,stack_trace,secret_name,detected_mime,attempt_count,path,locations,time_diff_sec
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 14:31:21,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 14:25:25,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 14:38:02,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 13:40:23,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 10:37:40,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 15:24:21,,,,,,,,,,normal,,,,,,,,,,,,,,,,
config-manager,secret_modified,,,,,,,2025-09-02 10:29:20,insider,,,,,,,,,anomaly,,,,,,,,,,,API_KEY_SECRET,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 13:21:45,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 14:35:45,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 14:42:41,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 10:16:22,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 10:58:03,,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-frontend,unusual_navigation,,,,,,,2025-09-02 10:24:18,john.smith,,,,,,,,,anomaly,,unauthorized_access,,,,,,,,,,,,/admin/settings,,
api-auth,password_reset_request,,,,,,,2025-09-02 13:36:42,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 11:17:03,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 10:23:24,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 11:42:40,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 10:18:03,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 11:54:04,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 15:14:05,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 10:18:42,,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 14:00:21,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 12:29:04,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 15:23:42,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 10:42:44,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 13:19:22,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
auth-server,login_failure,,,,198.51.100.20,,,2025-09-02 12:00:15,attacker1,,,,,,,,,anomaly,,invalid_password,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 10:28:43,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 14:46:02,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 10:52:01,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:05:40,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:56:02,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 12:05:21,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 14:40:43,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 12:03:43,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 11:06:24,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 13:27:23,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 11:36:44,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 14:30:42,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 10:36:25,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 12:07:22,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 13:43:24,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:21:05,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 12:02:21,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 10:27:03,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 11:58:25,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 15:26:20,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 13:11:04,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 11:59:20,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 10:35:40,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:30:41,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 12:07:01,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 12:12:40,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 12:58:21,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 13:06:05,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
app-server,uncaught_exception,,,,,,,2025-09-02 11:22:42,,,,,,,,,CRITICAL,anomaly,,,,,,,,,NullPointerException,com.app.OrderProcessor.processOrder:75,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 11:38:05,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 11:47:05,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 12:23:22,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 13:42:04,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 11:21:25,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 14:31:03,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 11:35:25,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 12:30:24,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 14:56:40,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 15:21:24,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 10:14:42,,,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:58:44,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
file-service,malicious_upload,,,,,,,2025-09-02 10:45:51,,,,document.jpg,,,,,,anomaly,,,,,,,,,,,,application/x-php,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 15:25:25,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 13:14:04,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 11:50:20,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 12:20:40,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 13:20:42,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 14:53:40,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_failure,,,,198.51.100.20,,,2025-09-02 12:23:39,attacker1,,,,,,,,,anomaly,,invalid_password,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 10:17:04,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
geo-monitor,suspicious_access,,,,,,,2025-09-02 12:22:41,jane.doe,,,,,,,,,anomaly,,,,,,,,,,,,,,,"['US','China']",45.0
config-manager,secret_modified,,,,,,,2025-09-02 12:09:10,insider,,,,,,,,,anomaly,,,,,,,,,,,API_KEY_SECRET,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 11:13:21,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 14:37:21,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,large_export,,,,,,,2025-09-02 11:49:14,,,,,,,,,,anomaly,,,,credit_cards,500000.0,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 11:09:24,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 11:20:04,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
app-server,uncaught_exception,,,,,,,2025-09-02 10:33:23,,,,,,,,,CRITICAL,anomaly,,,,,,,,,NullPointerException,com.app.OrderProcessor.processOrder:75,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 15:00:23,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 13:24:23,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 10:54:22,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,download_spike,,,,198.51.100.40,,,2025-09-02 10:32:42,,,,,,,,,,anomaly,,,,,,,150.0,1.0,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 13:25:44,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 12:24:05,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 14:39:03,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 12:21:23,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 15:30:20,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:29:05,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
app-server,database_failure,,,,,,,2025-09-02 10:41:09,,,,,,,,,WARN,anomaly,Database connection lost,,,,,,,,,,,,,,,
db-monitor,large_export,,,,,,,2025-09-02 10:02:43,,,,,,,,,,anomaly,,,,credit_cards,500000.0,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:27:24,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
config-manager,secret_modified,,,,,,,2025-09-02 10:56:55,insider,,,,,,,,,anomaly,,,,,,,,,,,API_KEY_SECRET,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 15:03:25,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,download_spike,,,,198.51.100.40,,,2025-09-02 11:34:23,,,,,,,,,,anomaly,,,,,,,150.0,1.0,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 13:28:45,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 15:10:02,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 11:58:00,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 11:31:44,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 12:24:20,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 11:06:02,,,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,suspicious_query,,,,203.0.113.60,,,2025-09-02 10:22:44,,,,,,,"SELECT user, password FROM users WHERE 1=1--",,,anomaly,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 12:40:41,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 10:32:03,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 14:26:00,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 10:10:21,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 10:56:41,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,uncaught_exception,,,,,,,2025-09-02 12:01:42,,,,,,,,,CRITICAL,anomaly,,,,,,,,,NullPointerException,com.app.OrderProcessor.processOrder:75,,,,,,
db-monitor,suspicious_query,,,,203.0.113.60,,,2025-09-02 11:18:24,,,,,,,"SELECT user, password FROM users WHERE 1=1--",,,anomaly,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 14:55:22,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:06:43,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 11:37:20,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 10:52:40,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 14:55:03,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 10:29:22,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 13:16:43,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 13:09:05,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 14:11:04,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
config-manager,env_variable_added,,,,,,,2025-09-02 10:39:24,admin,,,,,,,,,anomaly,,,DB_ROOT_PASSWORD,,,,,,,,,,,,,
db-monitor,large_export,,,,,,,2025-09-02 10:18:36,,,,,,,,,,anomaly,,,,credit_cards,500000.0,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 13:29:41,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:16:20,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
app-server,internal_server_error,/api/v1/checkout,,,,500.0,,2025-09-02 11:35:18,,,,,,,,,ERROR,anomaly,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 13:15:03,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 14:45:02,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 13:53:42,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 11:47:40,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 13:55:24,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 10:03:21,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:01:23,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 14:17:03,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 11:21:04,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 10:19:43,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 11:32:24,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 14:47:23,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 11:28:20,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,uncaught_exception,,,,,,,2025-09-02 11:01:10,,,,,,,,,CRITICAL,anomaly,,,,,,,,,NullPointerException,com.app.OrderProcessor.processOrder:75,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 13:47:24,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 13:34:20,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 15:05:44,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-frontend,unusual_navigation,,,,,,,2025-09-02 11:37:46,john.smith,,,,,,,,,anomaly,,unauthorized_access,,,,,,,,,,,,/admin/settings,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 14:16:03,,,,,,,,,,normal,,,,,,,,,,,,,,,,
